claim_count_7d,avg_claim_amount,location_jump_km,cluster_claim_count,device_motion_score,vpn_flag,claim_trigger_frequency,trust_score
11,1883,67.74,14,0.16,1,6,0.2
5,3065,95.37,30,0.25,1,10,0.31
15,3145,62.9,28,0.01,0,10,0.11
5,1333,6.18,3,0.69,1,6,0.99
3,681,19.27,9,0.64,1,1,0.68
6,756,8.37,6,0.3,0,5,0.82
5,660,9.76,2,0.35,1,2,0.75
8,2765,37.56,16,0.05,0,6,0.35
2,1258,5.13,10,0.23,1,3,0.94
1,1402,5.46,2,0.36,0,3,0.61
1,334,18.46,6,0.42,0,4,0.99
5,1056,15.9,2,0.92,0,1,0.47
1,1053,4.8,4,0.85,0,8,1.0
0,468,10.28,8,0.42,0,6,0.87
7,3233,91.96,21,0.2,0,9,0.25
8,2059,62.73,24,0.1,0,6,0.54
1,559,20.93,10,0.67,1,6,0.89
3,584,2.01,8,0.9,1,2,0.59
3,145,8.55,6,0.73,0,7,0.58
1,718,4.9,1,0.42,0,3,0.7
3,1014,3.61,6,0.38,0,2,0.58
12,1744,85.42,23,0.14,0,11,0.33
0,619,19.4,10,0.72,0,1,0.5
1,1411,6.9,3,0.95,1,2,0.77
1,1169,13.43,7,0.86,0,4,0.4
6,2224,72.6,16,0.15,1,12,0.48
0,1094,23.37,4,0.7,1,1,0.98
6,1495,59.32,10,0.16,1,8,0.28
0,313,21.22,5,0.82,1,0,0.69
0,300,23.67,4,0.8,0,4,0.77
6,1252,10.99,1,0.41,1,0,0.98
3,884,15.64,2,0.34,1,2,0.46
0,1409,18.38,3,0.83,1,8,0.8
4,1165,17.82,1,0.22,1,8,0.5
0,1469,12.38,9,0.25,0,5,0.54
3,174,24.08,6,0.93,0,7,0.89
9,2425,58.61,17,0.06,0,5,0.44
6,655,9.41,3,0.9,1,1,0.68
2,901,10.56,2,0.94,1,7,0.63
1,126,9.86,1,0.36,0,0,0.76
5,313,19.09,7,0.99,0,8,0.79
3,249,9.49,6,0.94,0,8,0.61
6,531,4.35,3,0.41,1,5,0.61
1,688,20.62,1,0.36,0,1,0.77
6,715,14.4,9,0.8,1,3,0.83
2,809,3.11,8,0.68,1,7,0.94
10,2078,58.1,14,0.13,0,7,0.27
4,260,14.0,8,0.88,0,1,0.7
1,376,18.26,2,0.55,1,5,0.44
6,506,23.67,4,0.71,0,1,0.42
5,952,15.02,4,0.78,0,4,0.62
13,3416,55.18,18,0.08,1,9,0.11
6,2670,80.47,29,0.07,0,9,0.43
3,228,19.96,2,0.57,0,6,0.98
1,957,20.0,1,0.65,0,4,0.79
13,1493,81.9,17,0.01,1,10,0.42
3,608,14.05,10,0.68,1,5,0.42
2,1226,23.81,6,0.61,0,4,0.53
2,469,11.67,7,0.79,1,3,0.98
10,2202,82.67,16,0.19,1,5,0.5
3,1014,24.63,5,0.45,1,2,0.41
4,709,18.63,3,0.71,1,7,0.83
2,898,8.23,4,0.39,1,0,0.98
1,818,16.65,4,0.31,1,2,0.79
2,627,14.3,9,0.54,0,1,0.62
3,600,1.77,4,0.52,0,4,0.9
1,869,0.59,4,0.9,0,5,0.54
4,681,19.51,7,0.34,1,5,0.82
1,1211,1.25,7,0.41,0,2,0.62
6,2415,48.14,26,0.23,1,10,0.25
5,960,2.48,1,0.34,0,2,0.9
11,1254,30.49,20,0.08,0,5,0.24
0,1159,8.77,10,0.89,1,7,0.96
1,1360,8.82,10,0.58,1,2,0.88
0,435,5.54,2,0.86,0,6,0.7
14,3772,90.21,9,0.21,0,11,0.11
4,711,9.95,7,0.22,0,0,0.41
2,240,24.04,9,0.9,0,4,0.81
1,573,24.22,5,0.44,0,7,0.54
0,218,21.37,3,0.95,1,2,0.51
4,1209,14.75,4,0.21,1,2,0.58
0,1421,5.42,9,0.44,0,8,0.85
2,576,23.37,8,0.89,1,1,0.6
2,798,22.16,10,0.66,1,7,0.89
4,1423,9.42,1,0.24,0,7,0.98
3,375,0.68,6,0.85,0,8,0.94
6,309,16.38,3,0.46,1,5,0.62
3,1239,2.8,2,0.75,1,1,0.77
1,827,13.12,2,0.43,0,6,0.85
2,1033,15.74,5,0.21,0,6,0.55
1,1306,2.95,7,0.63,1,2,0.56
12,2108,51.26,30,0.0,0,8,0.43
4,1266,10.99,4,0.68,0,3,0.79
8,3311,55.36,19,0.25,1,11,0.44
5,987,11.58,3,0.41,0,5,0.78
0,1075,2.77,8,0.88,0,3,0.66
5,596,20.26,3,0.76,0,8,0.8
3,982,13.85,6,0.5,0,8,0.99
2,779,15.24,1,0.36,0,7,0.84
1,245,22.74,2,0.89,0,4,0.45
1,388,4.77,3,0.76,1,7,0.58
0,110,22.3,8,0.36,1,7,0.99
4,597,9.05,6,0.49,0,7,0.97
2,144,7.6,2,0.72,1,6,0.57
0,225,14.88,9,0.44,0,2,0.41
11,3304,80.23,30,0.15,1,8,0.5
1,1320,0.62,8,0.34,0,4,0.74
4,400,4.79,5,0.25,1,8,0.54
3,1053,10.09,4,0.69,1,6,0.6
6,625,1.87,9,0.94,1,8,0.98
2,216,4.57,1,0.25,1,2,0.91
1,732,17.36,9,0.29,1,1,0.49
5,533,21.75,6,0.26,0,4,0.97
6,380,5.17,1,0.57,0,3,0.88
2,945,23.12,7,0.28,0,5,0.87
0,846,11.35,2,0.67,0,0,0.97
5,370,6.52,6,0.23,1,7,0.71
13,2394,76.5,9,0.19,0,12,0.54
4,818,6.16,2,0.5,1,6,0.82
6,118,1.22,5,0.54,1,5,0.48
1,479,8.45,9,0.44,1,6,0.41
8,2985,56.49,24,0.01,1,8,0.15
5,761,9.8,9,0.81,1,8,0.55
6,131,10.44,6,0.23,0,7,0.53
4,760,5.41,2,0.65,0,3,0.86
11,2973,21.8,20,0.1,0,7,0.51
5,341,15.28,4,0.55,0,6,0.69
13,2821,93.64,19,0.06,1,7,0.21
0,430,21.13,7,0.56,0,1,0.93
1,489,13.71,10,0.79,1,2,0.78
0,793,1.78,10,0.52,0,0,0.72
2,108,23.26,4,0.74,0,4,0.96
6,749,14.41,1,0.59,0,7,0.52
5,777,6.99,5,0.71,1,5,0.52
4,460,16.2,7,0.34,0,4,0.88
2,521,4.74,9,0.72,0,5,0.55
1,1360,9.39,8,0.35,0,4,0.44
2,1123,13.2,6,0.41,0,0,0.75
6,116,17.51,8,0.95,0,2,0.41
2,570,1.18,1,0.87,0,1,0.59
5,3867,80.67,16,0.23,1,10,0.24
2,1351,10.81,2,0.89,1,1,0.81
4,1002,22.59,2,0.84,1,3,0.49
14,2351,69.77,27,0.22,1,6,0.21
2,956,3.02,6,0.91,1,7,0.58
0,1042,13.68,5,0.3,0,2,0.56
1,371,3.74,9,0.41,1,4,0.83
6,498,4.71,9,0.39,1,7,0.43
3,164,10.23,5,0.44,1,1,0.95
10,2933,99.22,8,0.14,0,5,0.17
2,600,17.25,6,0.88,0,3,0.81
2,635,16.08,1,0.52,1,8,0.75
6,1417,10.48,7,0.55,1,6,0.76
3,887,14.1,6,0.9,1,6,0.83
4,691,11.83,5,0.85,0,7,0.62
5,1411,21.93,3,0.75,0,0,0.91
12,1929,50.2,30,0.21,1,7,0.51
3,338,2.97,9,0.55,0,6,0.87
3,1032,23.12,7,0.8,1,4,0.78
6,488,14.18,3,0.85,1,2,0.65
3,1419,24.84,9,0.29,1,3,0.62
4,500,22.58,7,0.83,1,1,0.93
3,129,19.1,9,0.65,0,5,0.44
3,776,3.76,8,0.49,0,6,0.42
2,1148,22.02,1,0.85,1,1,0.79
2,337,22.67,4,0.27,0,0,0.78
5,1733,36.18,20,0.17,0,11,0.21
11,3180,31.66,25,0.18,0,6,0.4
13,2629,21.35,23,0.04,1,8,0.2
3,1107,12.13,7,0.74,1,5,0.52
1,1033,4.13,1,0.46,0,3,0.97
3,221,4.03,6,0.22,1,6,0.41
8,1497,60.28,26,0.19,0,6,0.19
5,272,15.21,8,0.69,1,2,0.69
2,675,18.39,9,0.57,0,3,0.89
5,559,7.25,8,0.58,0,8,0.73
13,2967,99.98,8,0.08,0,11,0.39
0,1156,1.49,1,0.45,1,1,0.95
0,471,11.58,4,0.27,0,4,0.64
3,572,18.17,10,0.61,1,1,0.61
3,1083,18.17,1,0.81,1,7,0.58
4,936,4.58,1,0.9,0,3,0.87
2,1155,24.29,6,0.62,1,0,0.62
1,1360,16.34,8,0.73,1,0,0.85
4,1190,11.2,2,0.91,1,4,0.85
4,150,21.81,5,0.21,1,0,0.46
2,560,20.27,10,0.89,1,6,0.96
6,933,20.43,7,0.82,0,2,0.46
2,745,8.66,6,0.5,1,5,0.49
3,1217,16.06,8,0.77,1,0,0.59
1,591,0.4,7,0.56,0,3,0.56
5,218,21.26,7,0.28,1,0,0.51
2,666,2.46,7,0.59,1,1,0.65
6,270,23.8,9,0.98,1,2,0.73
0,863,0.89,3,0.48,1,6,0.43
0,912,18.27,6,0.36,0,4,0.86
8,3719,39.71,17,0.17,1,10,0.19
3,1397,5.19,4,0.4,0,0,0.79
3,271,21.71,2,0.69,1,0,0.61
6,1110,15.92,7,0.28,0,7,0.6
6,259,24.7,8,0.76,1,7,0.86
6,414,24.62,6,0.65,0,3,0.78
4,743,14.06,7,0.41,0,7,0.84
2,222,24.57,1,0.46,1,7,0.87
1,873,24.94,5,0.29,0,4,0.67
6,289,20.59,5,0.52,0,8,0.89
