city,platform,zone_risk,weekly_hours,past_claims,weather_risk,aqi_risk,tenure_months,trust_score,risk_label
Mumbai,Swiggy,High,35,1,3,2,44,0.84,Low
Hyderabad,Swiggy,Medium,22,0,2,4,15,0.7,Low
Mumbai,Swiggy,High,64,4,7,4,29,0.75,Medium
Mumbai,Swiggy,Medium,41,2,3,4,49,0.6,Low
Mumbai,Zomato,Low,74,2,10,5,52,0.43,Medium
Pune,Swiggy,High,44,0,9,5,54,0.78,Medium
Bengaluru,Swiggy,High,22,5,4,5,6,0.91,Medium
Mumbai,Zomato,Low,60,6,6,3,24,0.61,Medium
Bengaluru,Swiggy,Medium,30,4,4,3,30,0.63,Low
Hyderabad,Swiggy,Medium,73,6,1,4,53,0.42,Medium
Bengaluru,Zomato,Low,33,4,6,4,42,0.7,Low
Pune,Swiggy,Low,35,5,9,9,17,0.85,Medium
Pune,Zomato,Medium,28,4,8,2,49,0.43,Medium
Mumbai,Swiggy,Medium,70,5,7,10,5,0.63,High
Hyderabad,Zomato,Medium,55,6,1,2,44,0.93,Medium
Bengaluru,Zomato,Low,47,1,8,1,47,0.93,Low
Bengaluru,Swiggy,Medium,26,6,5,9,39,0.52,Medium
Bengaluru,Swiggy,Medium,69,4,1,10,21,0.69,Medium
Mumbai,Zomato,High,73,6,5,4,4,0.54,High
Hyderabad,Swiggy,Low,51,6,2,9,50,0.48,Medium
Pune,Swiggy,Low,75,4,7,4,60,0.72,Medium
Delhi,Zomato,Medium,62,5,6,8,58,0.71,High
Mumbai,Swiggy,Low,41,0,10,9,15,0.75,Medium
Mumbai,Swiggy,High,23,1,2,1,56,0.6,Low
Hyderabad,Swiggy,Low,51,1,9,3,47,0.96,Low
Hyderabad,Zomato,Low,50,6,7,4,7,0.46,Medium
Pune,Zomato,Medium,49,6,1,2,4,0.64,Medium
Bengaluru,Swiggy,Low,32,4,8,3,28,0.51,Medium
Pune,Swiggy,High,24,3,9,2,4,0.79,Medium
Hyderabad,Swiggy,High,79,6,4,3,27,0.69,Medium
Delhi,Zomato,High,30,3,1,7,17,0.96,Medium
Pune,Zomato,Medium,66,6,9,8,10,0.51,High
Delhi,Swiggy,Medium,54,0,6,1,4,0.75,Medium
Hyderabad,Swiggy,Low,52,0,3,2,39,0.44,Low
Delhi,Zomato,Low,76,4,4,10,39,0.42,Medium
Mumbai,Zomato,Medium,56,4,6,5,14,0.8,Medium
Bengaluru,Swiggy,Low,28,5,5,8,21,0.96,Medium
Mumbai,Swiggy,Medium,56,0,2,9,14,0.7,Medium
Delhi,Zomato,High,76,1,6,5,11,0.66,Medium
Hyderabad,Zomato,Medium,71,5,9,1,43,0.89,Medium
